mirID xc yc x_apex y_apex r phi
118 -1001 -132.5 -1001.0 -45.3201 1002.03 0.04524392823894008
118 -1001 -132.5 -1076.5 -88.91 1080.17 0.08240470043956627
118 -1001 -132.5 -1076.5 -176.09 1090.81 0.16214043791967025
118 -1001 -132.5 -1001.0 -219.68 1024.82 0.21603569073826456
145 -1001 -399.24 -1001.0 -312.06 1048.51 0.3021998551402878
145 -1001 -399.24 -1076.5 -355.65 1133.73 0.3190867948852456
145 -1001 -399.24 -1076.5 -442.83 1164.02 0.39026172161093875
145 -1001 -399.24 -1001.0 -486.42 1112.93 0.45233167438223676
158 -924 -532.61 -999.5 -489.02 1112.72 0.45502249029525865
158 -924 -532.61 -999.5 -576.2 1153.69 0.5229520154730398
158 -924 -532.61 -924.0 -619.79 1112.62 0.5908368906748884
170 -847 -665.97 -922.5 -622.38 1112.82 0.5935206346044737
170 -847 -665.97 -922.5 -709.56 1163.82 0.6556579064056351
170 -847 -665.97 -847.0 -753.15 1133.42 0.7268145245577515
181 -770 -799.34 -845.5 -755.75 1134.03 0.7294067875226338
181 -770 -799.34 -845.5 -842.93 1193.9 0.7838760404695067
181 -770 -799.34 -770.0 -886.52 1174.23 0.8556227293190992
191 -693 -932.71 -768.5 -889.12 1175.21 0.8580371145375687
191 -693 -932.71 -768.5 -976.3 1242.48 0.9039365613464083
191 -693 -932.71 -693.0 -1019.89 1233.05 0.9739718847922192
191 -693 -932.71 -617.5 -976.3 1155.19 1.0068290563308477
198 -462 -1066.08 -537.5 -1022.49 1155.16 1.0868183511479752
198 -462 -1066.08 -537.5 -1109.67 1232.99 1.1197240476724764
198 -462 -1066.08 -462.0 -1153.26 1242.36 1.189769793682629
198 -462 -1066.08 -386.5 -1109.67 1175.05 1.2356352277417186
197 -308 -1066.08 -383.5 -1109.67 1174.07 1.2380482656108893
197 -308 -1066.08 -308.0 -1153.26 1193.68 1.3098183461839426
197 -308 -1066.08 -232.5 -1109.67 1133.77 1.3642622268809443
196 -154 -1066.08 -229.5 -1109.67 1133.15 1.366853442345071
196 -154 -1066.08 -154.0 -1153.26 1163.5 1.4380471447157688
196 -154 -1066.08 -78.5 -1109.67 1112.44 1.5001722282413867
195 0 -1066.08 -75.5 -1109.67 1112.24 1.502862778159552
195 0 -1066.08 -1.60147e-14 -1153.26 1153.26 1.5707963267948966
195 0 -1066.08 75.5 -1109.67 1112.24 1.638729875430241
194 154 -1066.08 78.5 -1109.67 1112.44 1.6414204253484062
194 154 -1066.08 154.0 -1153.26 1163.5 1.7035455088740241
194 154 -1066.08 229.5 -1109.67 1133.15 1.7747392112447222
193 308 -1066.08 232.5 -1109.67 1133.77 1.7773304267088488
193 308 -1066.08 308.0 -1153.26 1193.68 1.8317743074058503
193 308 -1066.08 383.5 -1109.67 1174.07 1.9035443879789038
192 462 -1066.08 386.5 -1109.67 1175.05 1.9059574258480743
192 462 -1066.08 462.0 -1153.26 1242.36 1.9518228599071639
192 462 -1066.08 537.5 -1109.67 1232.99 2.0218686059173168
192 462 -1066.08 537.5 -1022.49 1155.16 2.0547743024418175
182 693 -932.71 617.5 -976.3 1155.19 2.1347635972589454
182 693 -932.71 693.0 -1019.89 1233.05 2.167620768797574
182 693 -932.71 768.5 -976.3 1242.48 2.237656092243385
182 693 -932.71 768.5 -889.12 1175.21 2.2835555390522244
171 770 -799.34 770.0 -886.52 1174.23 2.285969924270694
171 770 -799.34 845.5 -842.93 1193.9 2.3577166131202865
171 770 -799.34 845.5 -755.75 1134.03 2.4121858660671593
159 847 -665.97 847.0 -753.15 1133.42 2.4147781290320416
159 847 -665.97 922.5 -709.56 1163.82 2.4859347471841575
159 847 -665.97 922.5 -622.38 1112.82 2.5480720189853194
146 924 -532.61 924.0 -619.79 1112.62 2.5507557629149047
146 924 -532.61 999.5 -576.2 1153.69 2.6186406381167533
146 924 -532.61 999.5 -489.02 1112.72 2.686570163294534
132 1001 -399.24 1001.0 -486.42 1112.93 2.6892609792075564
132 1001 -399.24 1076.5 -442.83 1164.02 2.7513309319788544
132 1001 -399.24 1076.5 -355.65 1133.73 2.822505858704547
132 1001 -399.24 1001.0 -312.06 1048.51 2.8393927984495053
105 1001 -132.5 1001.0 -219.68 1024.82 2.9255569628515286
105 1001 -132.5 1076.5 -176.09 1090.81 2.979452215670123
105 1001 -132.5 1076.5 -88.91 1080.17 3.059187953150227
105 1001 -132.5 1001.0 -45.3201 1002.03 3.096348725350853
79 1001 134.23 1001.0 47.0502 1002.11 3.1885612814764226
79 1001 134.23 1076.5 90.6401 1080.31 3.225593406316737
79 1001 134.23 1076.5 177.82 1091.09 3.3052978696258632
64 1078 267.6 1078.0 180.42 1092.99 3.3074211916786256
64 1078 267.6 1153.5 224.01 1175.05 3.333405371639408
64 1078 267.6 1153.5 311.19 1194.74 3.405098430995594
64 1078 267.6 1078.0 354.78 1134.88 3.4595369189322196
50 1001 400.97 1076.5 357.38 1134.27 3.4621276675020467
50 1001 400.97 1076.5 444.56 1164.68 3.5332280720455667
50 1001 400.97 1001.0 488.15 1113.68 3.5953215066983013
37 924 534.34 999.5 490.75 1113.48 3.598010747015327
37 924 534.34 999.5 577.93 1154.56 3.665842814306391
37 924 534.34 924.0 621.52 1113.58 3.733719725660176
25 847 667.71 922.5 624.12 1113.79 3.7364083418155047
25 847 667.71 922.5 711.3 1164.88 3.7984345461111095
25 847 667.71 847.0 754.89 1134.58 3.869553236943053
14 770 801.07 845.5 757.48 1135.19 3.872135674887625
14 770 801.07 845.5 844.66 1195.12 3.926493822660764
14 770 801.07 770.0 888.25 1175.54 3.9981804267347743
14 770 801.07 694.5 844.66 1093.52 4.024242759474062
6 539 934.44 614.5 890.85 1082.23 4.108547842866031
6 539 934.44 614.5 978.03 1155.06 4.151417400353846
6 539 934.44 539.0 1021.62 1155.09 4.226911083131592
6 539 934.44 463.5 978.03 1082.3 4.269828856602011
1 308 1067.81 383.5 1024.22 1093.66 4.354117011949649
1 308 1067.81 383.5 1111.4 1175.7 4.380121558450587
1 308 1067.81 308.0 1154.99 1195.35 4.451784433099098
1 308 1067.81 232.5 1111.4 1135.46 4.506167326209315
2 154 1067.81 229.5 1111.4 1134.85 4.508754842523371
2 154 1067.81 154.0 1154.99 1165.21 4.579836313841425
2 154 1067.81 78.5 1111.4 1114.17 4.64187445063634
3 0 1067.81 75.5 1111.4 1113.96 4.644560852506844
3 0 1067.81 5.33823e-15 1154.99 1154.99 4.71238898038469
3 0 1067.81 -75.5 1111.4 1113.96 4.780217108262535
4 -154 1067.81 -78.5 1111.4 1114.17 4.782903510133039
4 -154 1067.81 -154.0 1154.99 1165.21 4.844941646927955
4 -154 1067.81 -229.5 1111.4 1134.85 4.9160231182460095
5 -308 1067.81 -232.5 1111.4 1135.46 4.918610634560064
5 -308 1067.81 -308.0 1154.99 1195.35 4.972993527670282
5 -308 1067.81 -383.5 1111.4 1175.7 5.044656402318792
5 -308 1067.81 -383.5 1024.22 1093.66 5.0706609488197305
13 -539 934.44 -463.5 978.03 1082.3 5.154949104167368
13 -539 934.44 -539.0 1021.62 1155.09 5.197866877637788
13 -539 934.44 -614.5 978.03 1155.06 5.273360560415533
13 -539 934.44 -614.5 890.85 1082.23 5.316230117903348
24 -770 801.07 -694.5 844.66 1093.52 5.400535201295318
24 -770 801.07 -770.0 888.25 1175.54 5.426597534034605
24 -770 801.07 -845.5 844.66 1195.12 5.498284138108616
24 -770 801.07 -845.5 757.48 1135.19 5.552642285881754
36 -847 667.71 -847.0 754.89 1134.58 5.555224723826326
36 -847 667.71 -922.5 711.3 1164.88 5.626343414658271
36 -847 667.71 -922.5 624.12 1113.79 5.688369618953875
49 -924 534.34 -924.0 621.52 1113.58 5.691058235109203
49 -924 534.34 -999.5 577.93 1154.56 5.7589351464629885
49 -924 534.34 -999.5 490.75 1113.48 5.826767213754053
63 -1001 400.97 -1001.0 488.15 1113.68 5.829456454071078
63 -1001 400.97 -1076.5 444.56 1164.68 5.891549888723813
63 -1001 400.97 -1076.5 357.38 1134.27 5.962650293267332
78 -1078 267.6 -1078.0 354.78 1134.88 5.96524104183716
78 -1078 267.6 -1153.5 311.19 1194.74 6.019679529773786
78 -1078 267.6 -1153.5 224.01 1175.05 6.091372589129971
78 -1078 267.6 -1078.0 180.42 1092.99 6.117356769090754
92 -1001 134.23 -1076.5 177.82 1091.09 6.119480091143516
92 -1001 134.23 -1076.5 90.6401 1080.31 6.199184554452643
92 -1001 134.23 -1001.0 47.0502 1002.11 6.236216679292957
