# ri_x ri_y rf_x rf_y
-1001.000 -45.320 -1001.000 47.050
-1076.500 -88.910 -1001.000 -45.320
-1076.500 -176.090 -1076.500 -88.910
-1001.000 -219.680 -1076.500 -176.090
-1001.000 -312.060 -1001.000 -219.680
-1076.500 -355.650 -1001.000 -312.060
-1076.500 -442.830 -1076.500 -355.650
-1001.000 -486.420 -1076.500 -442.830
-999.500 -576.200 -999.500 -489.020
-924.000 -619.790 -999.500 -576.200
-922.500 -709.560 -922.500 -622.380
-847.000 -753.150 -922.500 -709.560
-845.500 -842.930 -845.500 -755.750
-770.000 -886.520 -845.500 -842.930
-768.500 -976.300 -768.500 -889.120
-693.000 -1019.890 -768.500 -976.300
-617.500 -976.300 -693.000 -1019.890
-537.500 -1022.490 -617.500 -976.300
-537.500 -1109.670 -537.500 -1022.490
-462.000 -1153.260 -537.500 -1109.670
-386.500 -1109.670 -462.000 -1153.260
-308.000 -1153.260 -383.500 -1109.670
-232.500 -1109.670 -308.000 -1153.260
-154.000 -1153.260 -229.500 -1109.670
-78.500 -1109.670 -154.000 -1153.260
-0.000 -1153.260 -75.500 -1109.670
75.500 -1109.670 -0.000 -1153.260
154.000 -1153.260 78.500 -1109.670
229.500 -1109.670 154.000 -1153.260
308.000 -1153.260 232.500 -1109.670
383.500 -1109.670 308.000 -1153.260
462.000 -1153.260 386.500 -1109.670
537.500 -1109.670 462.000 -1153.260
537.500 -1022.490 537.500 -1109.670
617.500 -976.300 537.500 -1022.490
693.000 -1019.890 617.500 -976.300
768.500 -976.300 693.000 -1019.890
768.500 -889.120 768.500 -976.300
845.500 -842.930 770.000 -886.520
845.500 -755.750 845.500 -842.930
922.500 -709.560 847.000 -753.150
922.500 -622.380 922.500 -709.560
999.500 -576.200 924.000 -619.790
999.500 -489.020 999.500 -576.200
1076.500 -442.830 1001.000 -486.420
1076.500 -355.650 1076.500 -442.830
1001.000 -312.060 1076.500 -355.650
1001.000 -219.680 1001.000 -312.060
1076.500 -176.090 1001.000 -219.680
1076.500 -88.910 1076.500 -176.090
1001.000 -45.320 1076.500 -88.910
1001.000 47.050 1001.000 -45.320
1076.500 90.640 1001.000 47.050
1076.500 177.820 1076.500 90.640
1153.500 224.010 1078.000 180.420
1153.500 311.190 1153.500 224.010
1078.000 354.780 1153.500 311.190
1076.500 444.560 1076.500 357.380
1001.000 488.150 1076.500 444.560
999.500 577.930 999.500 490.750
924.000 621.520 999.500 577.930
922.500 711.300 922.500 624.120
847.000 754.890 922.500 711.300
845.500 844.660 845.500 757.480
770.000 888.250 845.500 844.660
694.500 844.660 770.000 888.250
614.500 890.850 694.500 844.660
614.500 978.030 614.500 890.850
539.000 1021.620 614.500 978.030
463.500 978.030 539.000 1021.620
383.500 1024.220 463.500 978.030
383.500 1111.400 383.500 1024.220
308.000 1154.990 383.500 1111.400
232.500 1111.400 308.000 1154.990
154.000 1154.990 229.500 1111.400
78.500 1111.400 154.000 1154.990
0.000 1154.990 75.500 1111.400
-75.500 1111.400 0.000 1154.990
-154.000 1154.990 -78.500 1111.400
-229.500 1111.400 -154.000 1154.990
-308.000 1154.990 -232.500 1111.400
-383.500 1111.400 -308.000 1154.990
-383.500 1024.220 -383.500 1111.400
-463.500 978.030 -383.500 1024.220
-539.000 1021.620 -463.500 978.030
-614.500 978.030 -539.000 1021.620
-614.500 890.850 -614.500 978.030
-694.500 844.660 -614.500 890.850
-770.000 888.250 -694.500 844.660
-845.500 844.660 -770.000 888.250
-845.500 757.480 -845.500 844.660
-922.500 711.300 -847.000 754.890
-922.500 624.120 -922.500 711.300
-999.500 577.930 -924.000 621.520
-999.500 490.750 -999.500 577.930
-1076.500 444.560 -1001.000 488.150
-1076.500 357.380 -1076.500 444.560
-1153.500 311.190 -1078.000 354.780
-1153.500 224.010 -1153.500 311.190
-1078.000 180.420 -1153.500 224.010
-1076.500 90.640 -1076.500 177.820
-1001.000 47.050 -1076.500 90.640
